YEAR,ORG_ID,ORG_NAME,PROJECT_NAME,STUDENT/PROJECT URL,MENTOR/ORG_URL
2005,freebsd,FreeBSD,FreeBSD website redesign and development,Emily Boyd,Murray Stokely
2005,freebsd,FreeBSD,gjournal,Ivan Voras,Pawel Dawidek
2005,freebsd,FreeBSD,Improve libalias,Paolo Pisati,Luigi Rizzo
2005,freebsd,FreeBSD,SNMP client tools using FreeBSD's libbsnmp,Shteryana Shopova,Philip Paeps
2005,freebsd,FreeBSD,Porting Mac OS 10.4's launchd(8) tools to FreeBSD,Tyler Ballance,Murray Stokely
2005,freebsd,FreeBSD,Fully Integrated SNMP Monitoring,Victor Cruceru,Hartmut Brandt
2005,gaim,Gaim,Implement UPnP NAT Traversal into the Gaim project to allow for seamless file transfers and direct connections.,Adam Warrington,Sean Egan
2005,gaim,Gaim,Gadu-Gadu Support (in Gaim),Bartosz Oler,Ethan Blanton
2005,gaim,Gaim,Music Messaging,Christian Muise,Gary Kramlich
2005,gaim,Gaim,File Transfers via the OSCAR (ICQ/AIM) Protocol,Jonathan Clark,Mark Doliner
2005,gaim,Gaim,Rendezvous Plugin for Gaim,Juanjo Molinero Horno,Mark Doliner
2005,gaim,Gaim,D-Busified gaim-remote,Piotr Zielinski,Sean Egan
2005,gaim,Gaim,SIP/SIMPLE/STUN for gaim,Thomas Butter,Ethan Blanton
2005,gallery,Gallery,Gallery2 - DupeDetect,Aviad Tsherniak,Jay Rossiter
2005,gallery,Gallery,G2 XML-RPC Modularization/CoreAPI,Christopher Schwerdt,Chris Kelly
2005,gallery,Gallery,Hidden and Password-Protected Items,Jess Martin,Jay Rossiter
2005,gallery,Gallery,Downloadable Plugins,Jozef Selesi,Bharat Mediratta
2005,gallery,Gallery,G2 / ZenCart Integration,Michael Rodriguez-Torrent,Andy Staudacher
2005,gallery,Gallery,Exploit aspects of DHTML to operate a smooth slideshow.,Ross Shannon,Jesse Mullan
2005,gnome,The GNOME Foundation,iTunes Music Sharing for Rhythmbox,Charles Schmidt,Colin Walters
2005,gnome,The GNOME Foundation,Live Documentation Editor 'Sarma',Danilo egan,Federico Mena-Quintero
2005,gnome,The GNOME Foundation,Improve GNOME startup time,Lorenzo Colitti,Owen Taylor
2005,gnome,The GNOME Foundation,Track changes in a filesystem directory via subversion and nautilus,Matt Jones,Dave Camp
2005,gnome,The GNOME Foundation,gshrooms,Raphael Slinckx,Johan Dahlin
2005,gnome,The GNOME Foundation,Search Party,Sanford Armstrong,Seth Nickell
2005,gnome,The GNOME Foundation,GNOME Panel Extensions,Travis Vachon,Havoc Pennington
2005,google,Google,ASP.NET Editor-Mozilla,Blagovest Dachev,Miguel  de Icaza
2005,google,Google,Bitten,Christopher Lenz,Greg Wilson
2005,google,Google,usb8x,Daniel Englender,Chris DiBona
2005,google,Google,osmo,David Wilson,Evan Martin
2005,google,Google,Tsync,James Anderson,Michael Moss
2005,google,Google,Fedora-ShibFilter,Joshua Kent,Peter Murray
2005,google,Google,Query By Example,Meredith Patterson,Chris Lavoie
2005,google,Google,A VM in Java with tail-calls and continuations,Nuno Cruces,Chris Lavoie
2005,google,Google,XSieve,Oleg Paraschenko,Yoshiki Hayashi
2005,google,Google,Google / Cairo integration into GTK Haskell bindings,Paolo Martini,Evan Martin
2005,handhelds,Handhelds.org,.NET for GPE (GPE DotNET),Kirill Kononenko,Erik Hovland
2005,handhelds,Handhelds.org,GPE syncing,Martin Felis,Phil Blundell
2005,handhelds,Handhelds.org,RCO (for handwriting ReCOgnition),Nicolas Schoonbroodt,Erik Hovland
2005,horde,Horde,Horde_Form Rewrite and AJAX Additions,Matt Warden,Marko Djukic
2005,horde,Horde,Horde Word Processor,Ryan Miller,Charles Hagenbuch
2005,inkscape,Inkscape,"Implement connectors for shapes in Inkscape, with automatic line routing.",Michael Wybrow,Peter Moulder
2005,internet2,Internet2,TSC Timekeeping,Alex Holkner,Stanislav Shalunov
2005,internet2,Internet2,Enhancements for thrulay (thrulay-ng),Bernhard Lutzmann,Jeff Boote
2005,internet2,Internet2,Noise Calibration / Internet2,Cesar Marcondes,Stanislav Shalunov
2005,internet2,Internet2,Enhancements for thrulay,Huadong Liu,Jeff Boote
2005,internet2,Internet2,"FB-FR-CCP, A Frame Based, Functionally Reliable, Congestion Controlled transport level Protocol.",Ivan Beschastnikh,Stanislav Shalunov
2005,internet2,Internet2,BTAPI-KR,Krishna Kumar Rajagopalan,Stanislav Shalunov
2005,internet2,Internet2,Bulk Transport API and Protocols over UDT,Roy S.C. Ho,Stanislav Shalunov
2005,internet2,Internet2,A micro-second precision timekeeping toolkit.,Xun Luo,Stanislav Shalunov
2005,jabber,Jabber Software Foundation,"Instant messaging client for Gnome compatible with Jabber protocol, with single-window user interface.",Dominik Zablotny,Peter Saint-Andre
2005,jabber,Jabber Software Foundation,dxmpp,Jakub Cłapa,Jacek Konieczny
2005,jabber,Jabber Software Foundation,xmpp mtp,Shawn Drost,Peter Saint-Andre
2005,jabber,Jabber Software Foundation,Net::XMPP for Ruby is a Ruby implementation of Jabber/XMPP,Yuki Mitsui,Peter Saint-Andre
2005,joomla,Joomla,Joomla Version Control System,Alek Andreev,Andy Miller
2005,joomla,Joomla,Joomla - Media Manager,Mateusz Krzeszowiec,Mitchell Pirtle
2005,joomla,Joomla,Pre-Processor API,Richard Allinson,Johan  Janssens
2005,joomla,Joomla,Update System for Joomla,Samuel Moffatt,Andrew Eddie
2005,jxta,JXTA,reliable multicast protocols in JXTA (RMP),Dimosthenis Pediaditakis,Mohamed Abdelaziz
2005,kde,KDE,KHTML Page Media,Allan Jensen,Dirk Mueller
2005,kde,KDE,KRO,David Moreno Montero,Michael Brade
2005,kde,KDE,Visual History for Konqueror,Han Dianfei,David Faure
2005,kde,KDE,Spreadsheet Programming Interface,James Horey,Richard Dale
2005,kde,KDE,Kontact-scripting,Kun Xi,Till Adam
2005,kde,KDE,Kamion,Milan Mitrovic,Michael Brade
2005,kde,KDE,KDE-Eclipse,Oleksandr Dymo,Carsten Pfeiffer
2005,kde,KDE,Speech recognition in khotkeys,Olivier Goffart,Lubos Lunak
2005,kde,KDE,oKular,Piotr Szymanski,Chris Howells
2005,kde,KDE,GTD for Kontact,Rafał Rzepecki,Till Adam
2005,kde,KDE,Label Browser,Ramakrishna R,Cornelius Schumacher
2005,kde,KDE,Implement labels feature similar to Gmail for KMail,Sachin Gupta,Cornelius Schumacher
2005,kde,KDE,PowerPoint import filter for KPresenter,Yolla  Indria,Lukas Tinkl
2005,lispnyc,LispNYC,Extending the PLT stepper,John Clements,Joe Marshall
2005,lispnyc,LispNYC,AxiomUI,Kai Kaminski,Bill Page
2005,lispnyc,LispNYC,CFFI (formerly Hello-C),Luís Oliveira,Kenny Tilton
2005,lispnyc,LispNYC,SlimeStepper,Svein Ove Aas,Heow Eide-Goodman
2005,livejournal,LiveJournal,LiveJournal S2 DHTML IDE,Patrick Walton,Mark Smith
2005,lookingglass,Project Looking Glass,Project Looking Glass - 3D Start Menu,Colin Bullock,Kirk Turner
2005,lookingglass,Project Looking Glass,"Brings a friendly new experience to the current mailer environment, breaking through the 2D barrier while emulating the real world experience of traditional mail.",Dai Odahara,Calvin Cheng
2005,lookingglass,Project Looking Glass,Natural Language Control for Looking Glass,Harsh Jain,Hideya Kawahara
2005,lookingglass,Project Looking Glass,An experimental three-dimensional interface to search Google.,Juan Gonzalez Aguilera,Kirk Turner
2005,lookingglass,Project Looking Glass,Optimisation of the Looking Glass Core,Pierre Ducroquet,Deron Johnson
2005,lookingglass,Project Looking Glass,Project Looking Glass,Sennai Masato Alemayehu,Hideya Kawahara
2005,mono,The Mono Project,Mono Bug Finder,Aaron Tomb,Miguel  de Icaza
2005,mono,The Mono Project,JScript.NET run time,Florian Groß,Miguel  de Icaza
2005,mono,The Mono Project,Xaml compiler for mono,Iain McCoy,Miguel  de Icaza
2005,mono,The Mono Project,Mono/Cecil,Jb Evain,Miguel  de Icaza
2005,mono,The Mono Project,GCC-CIL,Jeyasankar Kottalam,Miguel  de Icaza
2005,mono,The Mono Project,MSBuild implementation,Marek Sieradzki,Miguel  de Icaza
2005,mono,The Mono Project,Diva,Michael Dominic Kostrzewa,Miguel  de Icaza
2005,mono,The Mono Project,ASP.NET Graphical Designer for the Mono Project,Michael Hutchinson,Miguel  de Icaza
2005,mono,The Mono Project,Mono,Pedro MartÃ­nez JuliÃ¡,Miguel  de Icaza
2005,mono,The Mono Project,PHP4Mono,Raphael Romeikat,Miguel  de Icaza
2005,monotone,Monotone,Monotone / Go Botan,Kaushik Veeraraghavan,Nathaniel Smith
2005,mozdev,Mozdev,An advanced macro and testcase creation tool for Firefox,Ben Basson,Brian King
2005,mozdev,Mozdev,SIP phone extension for Mozilla Thunderbird,Filip Daluege,Brian King
2005,mozdev,Mozdev,Bugxula,Ian Thomas,Myk Melez
2005,mozdev,Mozdev,Mozilla latvian localization,Lauris Bukis-Haberkorns,Myk Melez
2005,mozdev,Mozdev,BitTorrent extensions for Mozilla Firefox,Loune Lam,Gervase Markham
2005,mozdev,Mozdev,MultExI,Ludwig Hunecke,David Boswell
2005,mozdev,Mozdev,Vietnamese localization of Mozilla Thunderbird,Minh Xuan Nguyen,David Boswell
2005,mozdev,Mozdev,"Originally, localize Firefox and Thunderbird to Thai but changed to Camino",Zek Kelley,Brian King
2005,netbsd,NetBSD,userfs,Antti Kantee,William Studenmund
2005,netbsd,NetBSD,Efficient memory file-system,Julio M. Merino Vidal,William Studenmund
2005,netbsd,NetBSD,BPG,Manuel Freire,Cuirt Sampson
2005,netbsd,NetBSD,NetBSD wcurses,Ruibiao Qiu,Julian Coleman
2005,nmap,NMap,UMIT,Adriano Monteiro Marques,Fyodor Vaskovich
2005,nmap,NMap,"Ncat is the culmination of many key features from various Netcat incarnations such as Netcat 1.10, Netcat6, SOcat, Cryptcat, GNU Netcat, etc.",Chris Gibson,Fyodor Vaskovich
2005,nmap,NMap,Nmap Version Detection,Doug Hoyte,Fyodor Vaskovich
2005,nmap,NMap,NmapGUI,Ole Morten GrodÃ¥s,Fyodor Vaskovich
2005,nmap,NMap,Nmap,Paul Tarjan,Fyodor Vaskovich
2005,nmap,NMap,Improve the NMap OS fingerprint database by integrating submissions and help in adding new tests to improve NMap's accuracy to provide more granular results.,Zhao Lei,Fyodor Vaskovich
2005,openoffice,OpenOffice.org,OpenOffice.org Tabbed Browsing feature,Andrzej Wytyczak-Partyka,Andreas Schluens
2005,openoffice,OpenOffice.org,Provides a beginning of plugin for Eclipse to help development for OpenOffice.org,Cedric Bosdonnat,Juergen Schmidt
2005,openoffice,OpenOffice.org,OpenOffice.Calc Validation of Functions,Daniel Miller,Niklas Nebel
2005,openoffice,OpenOffice.org,OpenOffice JasperReports Exporter,Majid Khan,Frank Schönheit
2005,openoffice,OpenOffice.org,".doc Export Pre-Filter (originally, Improving MS Word Filter)",Michael Ens,Florian Reuter
2005,oscar,OSCAR,Sun Grid Engine Package Creation for OSCAR,Babu Sundaram,Bernard Li
2005,oscar,OSCAR,OSCARonDEBIAN,RAM KUMAR DANGETI,geoffroy vallee
2005,other,Other,OpenMeteo project,Andrey Gryaznov,Chris DiBona
2005,perl,The Perl Foundation,A generational thread-aware GC for Parrot,Alexandre Buisse,Leopold Toetsch
2005,perl,The Perl Foundation,WWW::Kontent,Brent Royal-Gordon,Curtis Poe
2005,perl,The Perl Foundation,Compiler/Optimizer Improvements to Parrot,Curtis Rawls,Leopold Toetsch
2005,perl,The Perl Foundation,A type inference system for Perl 5,Gary Jackson,Andy Lester
2005,psu,Portland State University,Quantum Simulator (Q-Sim),Dennis Weyland,Bart Massey
2005,python,Python Software Foundation,Universal File System Interface,Adam Kerz,Trent Mick
2005,python,Python Software Foundation,mmpy - memory management in Python,Carl Friedrich Bolz,Samuele Pedroni
2005,python,Python Software Foundation,PyFileServer,Chun Wei Ho,Ian Bicking
2005,python,Python Software Foundation,Python Profile Module Replacement,Floris Bruynooghe,Brett Cannon
2005,python,Python Software Foundation,Python mailbox module replacement,Gregory Johnson,Andrew Kuchling
2005,python,Python Software Foundation,Python memory profiler,Nick Smallbone,Michael Hudson
2005,python,Python Software Foundation,Ported the standard library modules '_sre' and 'array' to pure Python,Niklaus Haldimann,Armin Rigo
2005,python,Python Software Foundation,Python Implementation of the Data Access Protocol,Roberto Antonio Ferreira De Almeida,Paul Dubois
2005,python,Python Software Foundation,OpenExVis,Tero Kuusela,David Ascher
2005,python,Python Software Foundation,Interactive Python Notebooks,Toni Alatalo,Fernando Perez
2005,samba,Samba,"python modules that help in easy modification of smb.conf file in an OO way, configuration of server's role such as PDC, STANDALONE, DM, WINS, etc., and configuration of printing style such as CUPS , SYSV , BSD etc.",Amit Regmi,Gerald Carter
2005,samba,Samba,Write the regression tests necessary to implement the Active Directory Synchronization protocol between domain controllers.,Brad Henry,Andrew Bartlett
2005,samba,Samba,Samba3 -> Samba4 upgrade,Jelmer Vernooij,Andrew Bartlett
2005,semedia,Semedia,SPARQL For Sesame,Ryan Levering,Jeen Broekstra
2005,semedia,Semedia,A code generation tool for Semantic Web applications,Shawn Simister,Giovanni Tummarello
2005,subversion,The Subversion Project,Jabber Notifications for Subversion,Brian Davis,Karl Fogel
2005,subversion,The Subversion Project,Subversion (path-based access control in svnserve),David Anderson,Karl Fogel
2005,subversion,The Subversion Project,Verified Memory Management for the Subversion Python Bindings,David James,Karl Fogel
2005,subversion,The Subversion Project,Subversion's directory listing over Dav was performing badly compared to the other repository access methods. By investigating the source of the issue and optimizing the calls I was able to trim down the time it took for listing of large directories by a substantial amount.,Jean-Marc Godbout,Karl Fogel
2005,subversion,The Subversion Project,Full Ruby bindings,Kouhei Sutou,Karl Fogel
2005,ubuntu,Ubuntu Linux,Zope packaging for Ubuntu Breezy,Fabio Tranchitella,Matthias Klose
2005,ubuntu,Ubuntu Linux,PyGTK Storage Device Manager,Jaime Soriano,Martin Pitt
2005,ubuntu,Ubuntu Linux,Gnome Panel Enhancements,Emmanuel Cornet,Sébastien Bacher
2005,ubuntu,Ubuntu Linux,LFS: A Log Structured File System for Linux that Supports Snapshots,Pradeep Padala,Marius Eriksen
2005,wine,The Wine Project,Improve DirectInput joystick support in Wine,Daniel Remenak,Lionel Ulmer
2005,wine,The Wine Project,Wine theming,Frank Richter,Kevin Koltzau
2005,wine,The Wine Project,"Implement the Negotiate and NTLM security providers for Wine, using samba4's GENSEC package.",Kai Blin,Juan Lang
2005,winlibre,WinLibre,WinLibre Installer Python Prototype,Bertrand CACHET,Pierre-Jean Coudert
2005,winlibre,WinLibre,Manatee,Bohdan Vlasyuk,Pierre-Jean Coudert
2005,winlibre,WinLibre,The Sneaky Snakes,Michael Rybak,Pierre-Jean Coudert
2005,winlibre,WinLibre,Final Touch (was: Image Manipulation Tools),Noemi Tojzan,Pierre-Jean Coudert
2005,winlibre,WinLibre,maclibre,francois perche,Pierre-Jean Coudert
2005,xwiki,XWiki,Agile Project Management Application built on XWiki,Alberto Saavedra,Ludovic Dubost
2005,xwiki,XWiki,P2P Enabled version of XWiki,Bikash Agarwalla,Ludovic Dubost
2005,xwiki,XWiki,Charting for XWiki Tables,Sergiu Gabriel Paul Dumitriu,Ludovic Dubost
2006,abisource,AbiSource,PDF Import plugin (with style),Jauco Noordzij,Dominic Lachowicz
2006,abisource,AbiSource,The AbiWord OLPC User Interface,Erik Pukinskis,Robert Staudinger
2006,abisource,AbiSource,Improving AbiWord's import/export plug-ins,Kamran Khan,J.M. Maurer
2006,adium,Adium,Making XMPP a first-class citizen by using the Smack library,Andreas Monitzer,Robert August Fackler
2006,adium,Adium,Improving disability support for Adium,Chirag Shah,Peter Hosey
2006,adium,Adium,EMD & Presence Publishing over DO (leading to: Psyduck - A Desktop Presence Framework),Joshua Lock,Colin Harold Barrett
2006,adium,Adium,Improving and integrating PSMTabBarControl with Adium,Kent Sutherland,David Smith
2006,adium,Adium,Jingle in Adium X,Alvaro Saurin Parra,Evan Schoenberg
2006,ardour,Ardour,MIDI Track support,David Edward Robillard,Jesse Chappell
2006,ardour,Ardour,Region Plugins and Undo Serialization,Hans Fugal,Paul Davis
2006,ardour,Ardour,Port Ardour to Windows,Tim Mayberry,Taybin Rutkin
2006,argo,ArgoUML,ArgoPrint Improvements,Ion Savin,Linus Tolke
2006,argo,ArgoUML,Eclipse Integration,Pistol Constandache Bogdan Ciprian,Tom Morris
2006,argo,ArgoUML,A Graph Layout Algorithm for GEF,Martin Harrigan,Robert James Tarling
2006,argo,ArgoUML,ArgoUML Critics improvements / italian localization / various bug fixes,Andrea Nironi,Michiel van der Wulp
2006,asf,The Apache Software Foundation,C Implementation of WSDL2C Code generator for Axis2/C,Dimuthu Chathuranga Gamage,Ranabahu Mudiyanselage Ajith Harshana Ranabahu
2006,asf,The Apache Software Foundation,Derby LRU Cache Manager,Gokul Soundararajan,Øystein Grøvlen
2006,asf,The Apache Software Foundation,Thunderbird/Outlook/etc Plugins for Learning Messages via Spamd,William Duff,Michael Parker
2006,asf,The Apache Software Foundation,Implementing Partial State Saving in Apache MyFaces,Martin Haimberger,Martin Marinschek
2006,asf,The Apache Software Foundation,cayenne-rop,Marcel Gordon,Andrus Adamchik
2006,asf,The Apache Software Foundation,"Axis2/Java-C#  (http://wiki.apache.org/general/SummerOfCode2006#axis2/java-c#"")",Nandana Sampath Mihindulasooriya,Sanjiva Weerawarana
2006,asf,The Apache Software Foundation,cayenne-ropwsdl,"Mikhail Viktorov, mentored by Kevin Joseph Menard","Kevin Joseph Menard, Jr."
2006,asf,The Apache Software Foundation,xerces-stax-api-converters,hua lei,Michael Glavassevich
2006,asf,The Apache Software Foundation,Add MMS transport support for Apache Mirae and Apache Axis2,Lilan Anjana Fernando,Changshin Lee
2006,asf,The Apache Software Foundation,Complete databinding support for ADB (Axis Databinding),Maryam Moazeni,Davanum Srinivas
2006,asf,The Apache Software Foundation,fop-auto-table-layout,Patrick Paul,Jeremias Märki
2006,asf,The Apache Software Foundation,JackRabbit Backup Tool,Nicolas Toper,Jukka Zitting
2006,asf,The Apache Software Foundation,Apache MyFaces skinning solution proposal,Catalin Adrian Kormos,Matthias Weßendorf
2006,asf,The Apache Software Foundation,Implement AJAX Partial Page Rendering Support in Apache MyFaces,Ernst Fastl,Werner Punz
2006,asf,The Apache Software Foundation,Cayenne Eclipse Plugin,"Bruno José de Moraes Melo, mentored by Kevin Joseph Menard","Kevin Joseph Menard, Jr."
2006,asf,The Apache Software Foundation,Application for - Add JMX to Apache Derby,Sanket Sharma,David Van Couvering
2006,asf,The Apache Software Foundation,Axis2 WSDL 2.0 support,Oshani Wasana Seneviratne,Deepal Jayasinghe
2006,asf,The Apache Software Foundation,Apache MyFaces. JSF view flexible templating language or JSF on Rails.,Aliaksandr Kazachonak,Mario Ivankovits
2006,asf,The Apache Software Foundation,Implementing before- and side-floats in Apache Fop,Vincent Hennebert,Jeremias Märki
2006,asf,The Apache Software Foundation,Provide migration tool from MySQL to Derby,Ramin Moazeni,Satheesh E Bandaram
2006,asf,The Apache Software Foundation,GData Server,Simon Willnauer,Ian Holsman
2006,asf,The Apache Software Foundation,spamassassin-httpd-spamd,Radosław Zieliński,Justin Mason
2006,bbc,BBC Research,Key Predistribution Infrastructure (KPI) base trusted communication framework for Kamaelia,Anagha Mudigonda,Michael Philip Sparks
2006,bbc,BBC Research,Dirac decoder in Java,Luis Felipe Strano Moraes,Thomas Davies
2006,bbc,BBC Research,3D widget framework,Thomas Flanitzer,Michael Philip Sparks
2006,bbc,BBC Research,Creation of an integrated BitTorrent component for Kamaelia,Ryan James Lothian,Michael Philip Sparks
2006,bbc,BBC Research,SOC Dirac: Java implementation of a Dirac decoder,Adam Davison,Thomas Davies
2006,beagle,Beagle,Networked Searches Via HTTP,Alexis Christoforides,Joe Shaw
2006,beagle,Beagle,Metadata Browsing for Beagle,Max Alexander Wiehle,Joe Shaw
2006,beagle,Beagle,Memory Reduction,Dennis Snell,Jon Trowbridge
2006,beagle,Beagle,Networked Searches,Kyle W. Ambroff,Joe Shaw
2006,beagle,Beagle,Dashboard,Fredrik Hedberg,Joe Shaw
2006,blender,Blender Foundation,Sky Generator,Dzmitry Mazouka,Kent Mein
2006,blender,Blender Foundation,Interactive sculpting with multi-resolution models,Nicholas Bishop,Jean-Luc Peurière
2006,blender,Blender Foundation,Modifier Stack Upgrade,Benjamin John Batt,Brecht Van Lommel
2006,boost,Boost C++,C++ Coroutine Library,Giovanni Piero Deretta,Eric Niebler
2006,boost,Boost C++,Concurrency Library,Matthew Calabrese,David Abrahams
2006,boost,Boost C++,TR1 Math Special Functions,Xiaogang Zhang,John Maddock
2006,boost,Boost C++,The Boost.Process library,Julio Manuel Merino Vidal,Jeff Garland
2006,boost,Boost C++,MISC (M)ulti (I)ndex (S)pecialized (C)ontainers,Matias Capeletto,Joaquín María López Muñoz
2006,boost,Boost C++,Generic Tree Container,Bernhard Reiter,Rene Rivera
2006,boost,Boost C++,Viewer utility for FSMs,Ioana Tibuleac,Andreas Huber Dönni
2006,boost,Boost C++,"Modular C++ preprocessor, using Boost.Spirit",Hermanpreet 'Lally' Singh,Jose Lorenzo de Guzman
2006,boost,Boost C++,Proposal: Implementing a state of the art Mincut/Maxflow algorithm,Stephan Diederich,Douglas Gregor
2006,bric,Bricolage,Occurrence Specification,Christian James Muise,Scott Lanning
2006,bric,Bricolage,Database porting,Arsu Andrei,David Wheeler
2006,bric,Bricolage,AJAX element editing,Marshall Roch,David Wheeler
2006,cc,Creative Commons,Extend functionality of Banshee to handle licensing claims,Luke Hoersten,Nathan R. Yergler
2006,cc,Creative Commons,ccPublisher support for uploading works to ccHost installations,Bruno Luis Goncalves Dilly,Jon Phillips
2006,cc,Creative Commons,Implementing EXIF Metadata in ccPublisher and Uploading the Results to Flickr.com,Robert Litzke,Nathan R. Yergler
2006,clamav,ClamAV,clam-anti-phishing : Phishin Detector for clamAV,Török Edvin,Alberto Wu
2006,clamav,ClamAV,AntiVirus development,Michal Spadlinski,Alberto Wu
2006,clamav,ClamAV,Proposal for a genetic algorithm optimized phishing detection module,Douglas Hains,Tomasz Kojm
2006,clamav,ClamAV,Unpacker project,Miikka Viljanen,Luca Gibelli
2006,codehaus,Codehaus,Castor: Generate DDL scripts from mapping,LE DUC Bao,Ralf Joachim
2006,crystal,Crystal Space,OpenAL sound system for Crystal Space,Søren Bøg,Andrew Mann
2006,crystal,Crystal Space,PVS Compiler and Culler Plugin,Benjamin Joel Stover,Jorrit Tyberghein
2006,crystal,Crystal Space,'Improved terrain' proposal,Kapoulkine Arseny,Marten Svanfeldt
2006,crystal,Crystal Space,CS Virtual File System Redesign,Brandon Kyle Hamilton,Frank Richter
2006,crystal,Crystal Space,Imposters,Christoph Mewes,Jorrit Tyberghein
2006,cups,Common Unix Printing System,Kerberos authentication,Jelmer Vernooij,Michael R Sweet
2006,cuwin,CUWiN Wireless Project,Building CUWiN for the Asus WL-500G Deluxe router,Ada Lim,David Young
2006,cuwin,CUWiN Wireless Project,Name Service and Interference Estimation Project,Michael Earnhart,David Young
2006,daisy,Daisy CMS,Daisy Repository PHP Framework,Kostiantyn Sokolinskyi,Bruno Dumon
2006,daisy,Daisy CMS,Daisy De-tachment,Tim Cranfield,Marc Portier
2006,debian,Debian,Distribution wide-tracker tools (DWTT) and collaborative repository of meta-informations about source packages (CRMI),Arnaud Fontaine,Raphael Hertzog
